first_name,last_name,age,countries,colors,sonic_characters,points
Prince,Reeves,18,Russia,Orange,Ray,666
Aydin,Chen,12,Russia,Blue,Metal Sonic,1626
Hayden,Reeves,15,Belgium,Orange,Ray,12
Bruno,Moyer,21,Nigeria,Red,Ray,542
Robert,Waller,19,Jamaica,Blue,Knuckles,2016
Brennen,Howe,18,Nigeria,Yellow,Knuckles,1677
Brennen,Hudson,19,England,Green,Metal Sonic,1227
Brody,Mcclure,24,Russia,Green,Sonic,811
Marcel,French,20,England,Yellow,Metal Sonic,856
Robert,Moyer,15,Belgium,Blue,Metal Sonic,1616
Khalil,Reeves,17,England,Orange,Metal Sonic,859
Eliezer,Bird,15,Russia,Green,Ray,1109
Marcel,Bird,15,Jamaica,Yellow,Sonic,1482
Cesar,Madden,14,England,Green,Sonic,2123
Neil,Chen,15,Russia,Orange,Ray,1466
Brennen,Mcclure,15,Nigeria,Blue,Ray,1177
Cesar,Howe,16,Belgium,Green,Sonic,2288
Bradley,Bird,12,Russia,Red,Sonic,2408
Scott,Howe,14,Nigeria,Red,Sonic,2352
Bruno,Chen,15,Jamaica,Green,Knuckles,1195
Khalil,Bird,12,Nigeria,Yellow,Sonic,2286
Jaydan,French,22,Jamaica,Blue,Metal Sonic,2578
Aydin,Madden,13,Belgium,Red,Tails,843
Scott,Mcclure,18,Nigeria,Yellow,Tails,2851
Robert,Mcclure,23,Belgium,Blue,Knuckles,1911
Quincy,Bird,11,Russia,Red,Sonic,1518
Marcelo,Reeves,21,England,Blue,Knuckles,610
Robert,French,13,Jamaica,Blue,Ray,2701
Brody,Waller,24,Russia,Yellow,Metal Sonic,2639
Scott,Howe,18,Jamaica,Green,Ray,1855
Jace,Bird,24,England,Red,Sonic,948
Brennen,Chen,16,Nigeria,Blue,Ray,2820
Neil,Reeves,21,Nigeria,Red,Sonic,1111
Eliezer,Hudson,13,England,Red,Ray,638
Quincy,French,21,Jamaica,Blue,Metal Sonic,492
Scott,Madden,23,England,Red,Knuckles,2343
Chaim,Bird,18,Nigeria,Green,Knuckles,1053
Robert,Howe,16,Belgium,Orange,Knuckles,1376
Jaydan,Moyer,18,Russia,Green,Tails,1602
Khalil,French,18,Russia,Orange,Metal Sonic,2645
Marcelo,Bird,20,Russia,Blue,Knuckles,2991
Brody,Mcclure,16,Jamaica,Orange,Knuckles,2604
Marcelo,Chen,14,England,Red,Metal Sonic,1035
Eliezer,Hudson,11,Russia,Green,Sonic,1125
Scott,Reeves,15,Jamaica,Orange,Knuckles,2890
Robert,Chen,17,Nigeria,Blue,Knuckles,1910
Marcel,Hudson,17,Jamaica,Orange,Tails,1858
Khalil,Bird,21,Belgium,Green,Tails,1316
Brody,Hudson,11,Jamaica,Green,Sonic,233
Quincy,Howe,12,Russia,Orange,Sonic,1802
Jace,Madden,20,Jamaica,Red,Tails,1965
Khalil,Moyer,18,Belgium,Red,Sonic,2309
Aydin,Hudson,11,Belgium,Blue,Ray,1966
Brennen,Reeves,14,England,Red,Metal Sonic,1992
Prince,French,23,Jamaica,Orange,Metal Sonic,2732
Neil,Howe,11,Russia,Green,Knuckles,1664
Scott,Mcclure,20,Nigeria,Blue,Ray,2824
Brody,Hudson,23,England,Orange,Metal Sonic,775
Jaydan,Reeves,24,Russia,Orange,Sonic,1759
Quincy,Mcclure,13,Jamaica,Red,Tails,1512
Bradley,Hudson,12,Russia,Blue,Tails,244
Scott,Madden,14,Nigeria,Yellow,Tails,1022
Chaim,Madden,14,Jamaica,Yellow,Sonic,2418
Marcelo,Waller,19,Jamaica,Orange,Ray,2434
Scott,Madden,12,England,Orange,Sonic,1409
Bradley,Chen,11,Nigeria,Red,Tails,132
Bradley,Hudson,21,England,Yellow,Metal Sonic,834
Jaydan,Hudson,11,Jamaica,Red,Tails,2312
Jace,Madden,19,Nigeria,Red,Tails,484
Eliezer,Mcclure,24,Belgium,Green,Sonic,233
Jaydan,Moyer,19,Nigeria,Green,Metal Sonic,1640
Cesar,Madden,13,England,Red,Tails,2074
Brody,Mcclure,12,Nigeria,Yellow,Ray,2125
Marcelo,Mcclure,11,Belgium,Red,Knuckles,1497
Khalil,Hudson,13,Jamaica,Red,Tails,635
Robert,Howe,21,Jamaica,Orange,Ray,1703
Prince,Reeves,13,Russia,Blue,Metal Sonic,2118
Neil,French,18,Nigeria,Red,Sonic,1463
Quincy,French,22,Belgium,Green,Ray,1829
Hayden,Reeves,15,Belgium,Green,Ray,252
Marcel,Howe,12,Russia,Yellow,Metal Sonic,381
Aydin,Madden,19,Jamaica,Blue,Knuckles,1315
Hayden,Bird,18,Belgium,Red,Metal Sonic,2899
Bradley,Waller,23,England,Yellow,Metal Sonic,2784
Prince,Howe,22,England,Red,Sonic,695
Jaydan,Chen,13,Nigeria,Red,Ray,2323
Bruno,Reeves,22,Jamaica,Orange,Metal Sonic,1017
Jaydan,Bird,12,Belgium,Blue,Tails,1829
Chaim,Mcclure,16,Nigeria,Green,Sonic,2959
Aydin,Mcclure,11,Nigeria,Orange,Tails,1952
Scott,Howe,14,Russia,Blue,Sonic,665
Bradley,Moyer,24,Russia,Red,Sonic,1608
Khalil,Bird,15,England,Yellow,Ray,2894
Cesar,Mcclure,22,Nigeria,Green,Tails,1922
Bruno,Madden,22,Belgium,Green,Knuckles,1901
Brennen,Waller,21,Belgium,Yellow,Knuckles,738
Quincy,Mcclure,15,England,Yellow,Metal Sonic,1544
Khalil,Chen,15,England,Blue,Ray,811
Bradley,Reeves,11,Nigeria,Orange,Sonic,1736
Chaim,Madden,11,Nigeria,Red,Knuckles,1796
Quincy,Hudson,13,Jamaica,Yellow,Sonic,1111
Jaydan,Madden,18,England,Green,Knuckles,2032
Jaydan,Mcclure,20,England,Blue,Knuckles,1110
Marcelo,Madden,18,Nigeria,Green,Tails,2699
Scott,French,17,England,Orange,Ray,450
Emmett,Madden,24,Jamaica,Yellow,Knuckles,2713
Aydin,Hudson,14,Russia,Blue,Ray,1221
Scott,Chen,22,Nigeria,Blue,Tails,690
Cesar,Bird,15,Russia,Orange,Tails,91
Khalil,Madden,15,England,Red,Sonic,502
Jace,Waller,14,Belgium,Green,Sonic,1763
Robert,Madden,21,Russia,Yellow,Tails,1920
Emmett,Howe,21,Jamaica,Blue,Tails,49
Brody,Chen,17,Nigeria,Orange,Sonic,2584
Bruno,Madden,23,Jamaica,Blue,Tails,992
Khalil,Hudson,14,Belgium,Orange,Knuckles,369
Jaydan,Reeves,16,Belgium,Blue,Tails,1960
Robert,Hudson,14,Russia,Green,Sonic,1102
Quincy,Mcclure,22,Belgium,Red,Sonic,695
Marcelo,Howe,16,Nigeria,Green,Ray,1849
Bruno,French,19,Nigeria,Orange,Metal Sonic,444
Hayden,French,16,England,Yellow,Ray,1923
Bruno,Howe,17,England,Red,Ray,1759
Hayden,Waller,24,Nigeria,Blue,Tails,1661
Scott,Howe,16,Jamaica,Blue,Sonic,1926
Quincy,Hudson,19,Russia,Green,Tails,588
Khalil,Waller,19,Nigeria,Yellow,Sonic,621
Quincy,Hudson,20,Nigeria,Green,Tails,1456
Emmett,Howe,21,England,Red,Sonic,237
Neil,Chen,16,Belgium,Green,Ray,911
Bruno,Bird,20,Belgium,Green,Tails,1316
Jaydan,Howe,20,Jamaica,Green,Knuckles,243
Jace,Mcclure,24,Belgium,Red,Tails,1987
Brody,Moyer,17,Russia,Blue,Ray,2278
Khalil,Howe,22,Russia,Blue,Metal Sonic,916
Khalil,Bird,16,Nigeria,Yellow,Sonic,1381
Aydin,Hudson,19,Nigeria,Orange,Ray,213
Chaim,Reeves,15,Russia,Orange,Tails,496
Khalil,Reeves,23,Nigeria,Orange,Knuckles,508
Prince,Howe,11,Jamaica,Orange,Ray,4
Jace,Chen,13,Nigeria,Yellow,Tails,472
Neil,Bird,24,Jamaica,Blue,Tails,1044
Scott,Howe,14,Jamaica,Green,Knuckles,22
Jace,Waller,20,Belgium,Yellow,Knuckles,2367
Emmett,Waller,23,Nigeria,Blue,Metal Sonic,1137
Marcel,Moyer,12,Russia,Green,Tails,725
Brennen,Reeves,21,Nigeria,Red,Knuckles,1016
Emmett,Howe,23,Russia,Orange,Knuckles,1415
Hayden,French,23,Russia,Green,Tails,494
Quincy,Chen,21,England,Blue,Ray,697
Aydin,Waller,16,Russia,Yellow,Knuckles,702
Robert,Howe,14,Nigeria,Orange,Metal Sonic,1171
Bradley,Howe,12,Jamaica,Red,Tails,1178
Khalil,Madden,17,Jamaica,Green,Ray,1713
Aydin,Bird,12,England,Yellow,Knuckles,1912
Jace,Bird,16,Belgium,Blue,Ray,2576
Aydin,Chen,20,Russia,Yellow,Sonic,1373
Quincy,Moyer,11,Nigeria,Green,Tails,439
Robert,Howe,21,Russia,Green,Knuckles,2690
Scott,Reeves,19,Belgium,Green,Metal Sonic,1334
Cesar,Mcclure,16,England,Green,Metal Sonic,2551
Robert,Chen,14,Nigeria,Orange,Sonic,808
Brennen,Moyer,13,Jamaica,Yellow,Sonic,555
Jaydan,Hudson,21,England,Blue,Tails,385
Jaydan,Chen,16,Russia,Orange,Metal Sonic,1742
Robert,Waller,11,Nigeria,Green,Knuckles,1624
Brennen,French,23,Jamaica,Blue,Sonic,44
Marcel,Waller,15,Jamaica,Yellow,Sonic,2530
Prince,Waller,24,England,Blue,Ray,282
Neil,Mcclure,24,Belgium,Orange,Metal Sonic,2397
Chaim,French,14,Belgium,Red,Ray,1822
Brennen,Howe,24,Jamaica,Orange,Sonic,2846
Emmett,Moyer,21,England,Red,Tails,2344
Robert,Waller,24,Russia,Yellow,Sonic,502
Marcel,Chen,16,Jamaica,Red,Ray,1330
Chaim,Hudson,13,Russia,Blue,Tails,1706
Chaim,Moyer,21,Nigeria,Green,Ray,245
Khalil,Bird,18,Russia,Blue,Ray,1732
Bruno,Moyer,21,Russia,Orange,Ray,1694
Aydin,Moyer,23,Belgium,Orange,Ray,2049
Cesar,Hudson,21,Belgium,Yellow,Ray,2767
Prince,Reeves,11,Nigeria,Yellow,Ray,2208
Prince,Howe,24,Nigeria,Green,Sonic,905
Marcel,Reeves,21,Russia,Blue,Ray,1721
Aydin,Chen,13,Belgium,Orange,Tails,1185
Bradley,French,18,Jamaica,Yellow,Knuckles,1772
Bradley,Moyer,15,England,Yellow,Tails,554
Chaim,Mcclure,13,England,Green,Tails,2418
Neil,Reeves,13,Belgium,Blue,Tails,192
Khalil,Waller,15,Belgium,Blue,Ray,2727
Marcelo,Waller,16,Belgium,Yellow,Metal Sonic,2056
Brennen,Moyer,17,Belgium,Orange,Tails,1775
Brody,Bird,13,Belgium,Blue,Tails,2611
Khalil,Howe,20,Belgium,Yellow,Knuckles,1632
Brennen,Waller,20,England,Blue,Knuckles,2234
Neil,Madden,15,England,Yellow,Tails,2783
Emmett,Reeves,18,Nigeria,Red,Sonic,593
Bradley,Chen,15,England,Blue,Sonic,1613
Hayden,Chen,13,Russia,Orange,Sonic,2189
Bruno,French,23,Jamaica,Blue,Metal Sonic,1271
Khalil,Howe,13,Nigeria,Red,Knuckles,447
Robert,Waller,22,Jamaica,Blue,Knuckles,417
Marcel,Waller,22,Russia,Green,Metal Sonic,2354
Cesar,Moyer,22,Jamaica,Red,Ray,840
Prince,Madden,20,Jamaica,Green,Knuckles,1947
Brody,Howe,22,Russia,Red,Tails,1727
Bradley,Bird,15,Belgium,Yellow,Metal Sonic,2510
Chaim,Bird,22,Belgium,Orange,Sonic,668
Scott,Bird,15,England,Red,Sonic,557
Jaydan,Hudson,19,Belgium,Orange,Tails,2676
Brody,Bird,12,Jamaica,Blue,Metal Sonic,2958
Bradley,Reeves,24,England,Red,Tails,387
Brody,Moyer,22,England,Green,Knuckles,1317
Brody,Chen,13,Jamaica,Orange,Knuckles,464
Marcelo,Moyer,16,Belgium,Orange,Ray,196
Emmett,Moyer,15,England,Red,Metal Sonic,2759
Prince,Moyer,24,Belgium,Orange,Sonic,2570
Eliezer,Mcclure,12,Russia,Orange,Metal Sonic,77
Brennen,Chen,18,Russia,Blue,Knuckles,2887
Brennen,Howe,15,Russia,Blue,Metal Sonic,1473
Prince,Mcclure,13,Russia,Blue,Metal Sonic,1598
Emmett,Moyer,21,Russia,Yellow,Knuckles,1989
Chaim,Moyer,13,Jamaica,Orange,Knuckles,123
Eliezer,Moyer,23,Nigeria,Blue,Tails,1353
Aydin,French,13,Jamaica,Green,Ray,951
Robert,Reeves,20,England,Green,Ray,249
Jace,Hudson,16,Nigeria,Blue,Metal Sonic,1646
Bruno,Madden,19,Nigeria,Blue,Knuckles,1576
Aydin,Moyer,13,Russia,Blue,Tails,451
Hayden,Bird,13,Jamaica,Orange,Ray,2190
Eliezer,Hudson,23,England,Red,Metal Sonic,2464
Hayden,Hudson,11,Nigeria,Red,Metal Sonic,2789
Cesar,French,24,Nigeria,Orange,Metal Sonic,127
Jace,Moyer,15,Russia,Yellow,Knuckles,1838
Prince,Reeves,18,England,Yellow,Ray,2829
Jace,Madden,22,Belgium,Green,Knuckles,2303
Bruno,Madden,23,England,Orange,Knuckles,1512
Chaim,Chen,14,Belgium,Green,Metal Sonic,1850
Bruno,Moyer,20,Jamaica,Blue,Knuckles,1224
Aydin,Waller,20,England,Red,Tails,1099
Scott,Reeves,24,Jamaica,Orange,Metal Sonic,864
Robert,Hudson,20,Nigeria,Blue,Tails,1812
Aydin,Bird,23,Russia,Orange,Sonic,2857
Jace,Reeves,14,Jamaica,Green,Knuckles,2134
Eliezer,Hudson,20,Belgium,Orange,Sonic,1479
Emmett,Hudson,17,Jamaica,Red,Tails,1864
Cesar,Moyer,12,Russia,Red,Tails,2449
Jace,Howe,13,Belgium,Orange,Tails,999
Neil,Reeves,20,Jamaica,Red,Metal Sonic,2565
Marcelo,Howe,12,Jamaica,Blue,Metal Sonic,285
Bruno,Mcclure,17,Russia,Red,Metal Sonic,395
Quincy,Madden,14,England,Green,Ray,2217
Prince,Mcclure,12,Jamaica,Orange,Knuckles,474
Robert,Madden,20,England,Yellow,Ray,262
Marcelo,Moyer,19,Jamaica,Blue,Knuckles,2277
Neil,Chen,21,Belgium,Green,Metal Sonic,680
Brennen,Waller,14,England,Blue,Sonic,1520
Marcel,Moyer,18,Belgium,Orange,Knuckles,1731
Jaydan,Chen,22,Jamaica,Blue,Metal Sonic,402
Marcel,Hudson,19,Belgium,Red,Metal Sonic,69
Jaydan,Chen,19,Nigeria,Yellow,Metal Sonic,2466
Aydin,Reeves,23,England,Green,Tails,112
Jaydan,Chen,22,Russia,Green,Knuckles,1210
Scott,Howe,18,Belgium,Red,Metal Sonic,1338
Eliezer,Howe,11,England,Blue,Ray,1207
Bruno,French,19,England,Orange,Tails,1193
Chaim,Mcclure,19,Russia,Red,Knuckles,227
Cesar,Hudson,22,Belgium,Yellow,Metal Sonic,2167
Bruno,Waller,24,Nigeria,Green,Knuckles,2890
Neil,French,22,Jamaica,Yellow,Ray,388
Chaim,Waller,12,Russia,Green,Sonic,2378
Bradley,Waller,24,England,Yellow,Knuckles,1343
Eliezer,Chen,16,England,Green,Sonic,2130
Aydin,Hudson,16,England,Green,Sonic,2592
Robert,Waller,13,Belgium,Red,Sonic,1406
Scott,Chen,13,Nigeria,Orange,Knuckles,2446
Jace,French,18,Nigeria,Yellow,Metal Sonic,1986
Prince,Howe,20,Belgium,Blue,Metal Sonic,2774
Khalil,Chen,17,Belgium,Orange,Tails,2954
Chaim,Reeves,20,Belgium,Red,Ray,1040
Cesar,Madden,19,Jamaica,Blue,Metal Sonic,1011
Eliezer,Waller,20,Russia,Red,Tails,1313
Neil,Madden,11,Belgium,Blue,Metal Sonic,719
Eliezer,Hudson,13,Russia,Yellow,Tails,488
Cesar,Bird,21,Nigeria,Blue,Metal Sonic,1921
Aydin,Moyer,24,Russia,Orange,Ray,2786
Hayden,Hudson,15,Belgium,Yellow,Ray,2602
Eliezer,Bird,13,Jamaica,Red,Sonic,2635
Bradley,Chen,19,Jamaica,Orange,Tails,1260
Cesar,Bird,12,Russia,Yellow,Metal Sonic,804
Robert,Mcclure,13,Belgium,Green,Knuckles,2136
Marcelo,Hudson,19,England,Yellow,Knuckles,2698
Jaydan,Reeves,23,England,Red,Metal Sonic,476
Cesar,Bird,13,Belgium,Blue,Knuckles,1228
Prince,Reeves,16,England,Green,Ray,2619
Khalil,Chen,16,Nigeria,Orange,Metal Sonic,2118
Bradley,Bird,17,Russia,Yellow,Sonic,2838
Robert,French,15,Nigeria,Blue,Sonic,1719
Marcel,Hudson,21,England,Blue,Metal Sonic,179
Emmett,Waller,18,Russia,Green,Sonic,552
Jaydan,Bird,16,England,Orange,Knuckles,808
Eliezer,French,16,England,Green,Tails,688
Scott,Reeves,17,Russia,Yellow,Ray,863
Brody,Mcclure,13,Nigeria,Red,Tails,1234
Eliezer,Chen,14,Jamaica,Orange,Tails,2359
Scott,Hudson,24,Belgium,Red,Tails,1672
Marcelo,Madden,20,England,Yellow,Ray,473
Quincy,Moyer,18,England,Blue,Knuckles,2291
Scott,Madden,22,Belgium,Green,Metal Sonic,111
Brennen,Bird,13,England,Red,Ray,1087
Bruno,Mcclure,20,Jamaica,Yellow,Knuckles,2318
Bruno,Reeves,13,Russia,Yellow,Ray,1791
Bruno,French,12,Nigeria,Green,Sonic,2436
Chaim,Waller,23,England,Green,Knuckles,2103
Bruno,Madden,13,Russia,Blue,Ray,1599
Robert,Chen,12,Nigeria,Orange,Ray,2265
Eliezer,Reeves,22,England,Green,Metal Sonic,170
Cesar,French,18,Nigeria,Blue,Knuckles,2825
Emmett,Reeves,20,England,Orange,Knuckles,694
Bradley,Chen,20,England,Red,Metal Sonic,328
Aydin,Chen,11,Jamaica,Blue,Sonic,1664
Chaim,Waller,23,England,Red,Metal Sonic,2054
Chaim,Chen,16,England,Red,Metal Sonic,2670
Neil,Madden,23,Belgium,Green,Tails,1944
Bruno,French,16,England,Red,Ray,1146
Quincy,Mcclure,21,Belgium,Orange,Tails,521
Eliezer,French,20,Nigeria,Red,Sonic,2157
Brody,Madden,19,Belgium,Green,Metal Sonic,1355
Aydin,Reeves,12,England,Blue,Metal Sonic,2932
Brody,Waller,22,Belgium,Blue,Knuckles,2872
Neil,Madden,17,England,Blue,Metal Sonic,1041
Khalil,Madden,19,Russia,Blue,Ray,2599
Emmett,Waller,22,Belgium,Red,Ray,1807
Quincy,Chen,16,Jamaica,Yellow,Knuckles,1592
Eliezer,Howe,12,Belgium,Green,Sonic,1867
Neil,Madden,16,Jamaica,Blue,Tails,40
Robert,Bird,14,Jamaica,Red,Ray,1656
Jace,Madden,11,Belgium,Red,Sonic,1272
Hayden,Howe,24,Russia,Red,Metal Sonic,2881
Brennen,Waller,22,Jamaica,Yellow,Knuckles,1884
Scott,Hudson,24,Nigeria,Green,Sonic,1042
Brody,French,23,Nigeria,Red,Tails,2784
Eliezer,Waller,20,Belgium,Yellow,Metal Sonic,989
Aydin,Madden,22,Russia,Blue,Ray,2439
Robert,Hudson,17,Nigeria,Yellow,Ray,1443
Scott,Madden,22,England,Blue,Metal Sonic,2807
Khalil,Howe,20,Belgium,Orange,Ray,2284
Cesar,Hudson,22,Russia,Orange,Ray,1616
Aydin,Madden,14,Belgium,Yellow,Ray,77
Robert,Waller,20,Jamaica,Red,Tails,1620
Quincy,Mcclure,21,Russia,Red,Ray,1723
Cesar,Hudson,22,Nigeria,Orange,Metal Sonic,2276
Aydin,Bird,13,Nigeria,Orange,Sonic,1099
Aydin,Chen,11,Belgium,Green,Tails,1165
Scott,Mcclure,22,Nigeria,Blue,Sonic,2257
Chaim,Chen,12,Jamaica,Red,Tails,105
Brennen,Moyer,11,England,Orange,Tails,2998
Emmett,Hudson,17,Belgium,Orange,Tails,14
Prince,Waller,16,Russia,Green,Ray,1115
Bruno,Mcclure,18,Jamaica,Red,Knuckles,1471
Khalil,Waller,17,England,Blue,Tails,230
Marcelo,Waller,24,Belgium,Orange,Knuckles,886
Jaydan,French,18,Russia,Red,Knuckles,991
Jace,Hudson,11,Belgium,Blue,Sonic,1161
Chaim,Hudson,14,Russia,Orange,Sonic,2293
Scott,Mcclure,23,Nigeria,Red,Tails,561
Prince,Mcclure,22,Nigeria,Red,Ray,812
Aydin,Moyer,23,England,Orange,Tails,812
Bruno,Waller,12,Jamaica,Yellow,Metal Sonic,44
Jaydan,Moyer,15,Belgium,Blue,Knuckles,2914
Aydin,Bird,15,Belgium,Yellow,Sonic,2370
Hayden,Mcclure,11,Russia,Red,Metal Sonic,1863
Neil,Chen,12,Belgium,Red,Tails,2451
Brennen,Hudson,12,Jamaica,Red,Tails,1986
Chaim,Chen,12,Russia,Yellow,Tails,911
Bradley,French,23,Nigeria,Green,Metal Sonic,43
Eliezer,French,20,England,Green,Tails,1642
Quincy,Chen,15,Nigeria,Green,Metal Sonic,1244
Hayden,Hudson,11,Jamaica,Yellow,Metal Sonic,203
Jaydan,Howe,19,Belgium,Blue,Tails,51
Khalil,Hudson,16,England,Yellow,Metal Sonic,2584
Eliezer,Howe,13,Russia,Green,Tails,2023
Jaydan,Bird,16,Jamaica,Yellow,Knuckles,189
Robert,Bird,11,Belgium,Yellow,Metal Sonic,2041
Chaim,Reeves,23,Nigeria,Red,Ray,1052
Marcelo,French,12,Belgium,Blue,Metal Sonic,2448
Brody,Mcclure,21,Jamaica,Yellow,Ray,341
Emmett,French,24,Belgium,Yellow,Sonic,460
Bradley,Moyer,13,England,Orange,Tails,2518
Marcel,Hudson,17,Jamaica,Orange,Metal Sonic,1328
Neil,Reeves,17,England,Green,Ray,815
Jaydan,Reeves,24,England,Red,Knuckles,2363
Khalil,Bird,15,Belgium,Orange,Sonic,2552
Jaydan,Mcclure,19,Nigeria,Red,Knuckles,1251
Eliezer,Madden,16,Belgium,Blue,Metal Sonic,2050
Bruno,Mcclure,16,Russia,Yellow,Tails,2991
Jace,Mcclure,11,Russia,Green,Knuckles,480
Jaydan,Bird,18,Belgium,Red,Metal Sonic,64
Marcel,Chen,12,Belgium,Yellow,Metal Sonic,248
Bruno,Waller,20,Nigeria,Red,Tails,195
Bruno,Bird,22,Belgium,Blue,Sonic,1892
Cesar,Reeves,12,Russia,Yellow,Tails,2131
Prince,Madden,15,Belgium,Orange,Ray,311
Marcel,Bird,21,England,Green,Tails,146
Marcelo,Mcclure,13,Nigeria,Red,Tails,495
Brennen,Madden,16,Belgium,Green,Tails,308
Chaim,Chen,19,Belgium,Green,Metal Sonic,508
Robert,Chen,22,Belgium,Red,Sonic,2252
Quincy,Hudson,12,Belgium,Blue,Knuckles,594
Brennen,Waller,17,Nigeria,Yellow,Tails,2400
Hayden,Mcclure,21,Jamaica,Yellow,Knuckles,411
Marcelo,Hudson,11,Nigeria,Green,Sonic,1179
Jace,Bird,11,Belgium,Orange,Ray,2954
Prince,French,18,England,Blue,Sonic,2688
Marcelo,Madden,20,Russia,Green,Sonic,2616
Marcel,Chen,20,Belgium,Orange,Knuckles,1588
Aydin,Bird,16,England,Orange,Metal Sonic,394
Marcelo,Hudson,21,Nigeria,Orange,Ray,2562
Eliezer,Chen,21,Russia,Blue,Sonic,2502
Quincy,Chen,11,Belgium,Green,Metal Sonic,2978
Quincy,Madden,19,Jamaica,Green,Metal Sonic,601
Prince,Hudson,24,Belgium,Blue,Ray,2558
Khalil,Reeves,13,England,Blue,Tails,1752
Emmett,Reeves,11,Nigeria,Red,Ray,2277
Quincy,Hudson,22,England,Orange,Sonic,2941
Bradley,Waller,17,Belgium,Orange,Tails,691
Hayden,French,13,England,Yellow,Sonic,2191
Jace,Mcclure,14,Jamaica,Yellow,Sonic,109
Jace,Waller,14,Russia,Orange,Metal Sonic,2894
Scott,Waller,16,Nigeria,Blue,Ray,2315
Brody,Moyer,11,Nigeria,Yellow,Sonic,325
Marcelo,Hudson,15,Nigeria,Green,Ray,2123
Eliezer,French,15,Jamaica,Red,Ray,1587
Marcelo,Madden,21,Belgium,Orange,Knuckles,2550
Chaim,Hudson,14,England,Yellow,Metal Sonic,2610
Jaydan,Hudson,14,England,Green,Metal Sonic,432
Quincy,Hudson,14,Jamaica,Blue,Tails,942
Brody,Reeves,16,Nigeria,Orange,Sonic,2873
Prince,Hudson,21,Russia,Green,Knuckles,2549
Aydin,French,16,England,Orange,Metal Sonic,32
Robert,Reeves,11,Russia,Red,Ray,435
Scott,Moyer,12,Jamaica,Green,Ray,2906
